x,y,z
0.4053719,-2.5745909,0.0275461
-1.0476278,3.1021648,0.0533240
-2.4509881,-1.5370124,-0.9757079
2.7495305,-0.0899632,0.1829249
0.0578697,-2.9420169,-0.0209798
-2.1751387,-1.5403035,-0.4795713
2.4518286,0.9056223,-0.1509910
1.2268144,1.8587579,-0.2731196
-2.5234615,-0.6526919,0.6819695
2.0823124,1.5094499,0.5304403
1.2270426,-1.4943074,0.1603612
-2.7534661,-1.2922353,0.1680526
-0.7397002,-2.3540411,-0.2637769
2.0022481,0.1242651,-0.0229368
-0.3558069,-3.1734387,0.3756066
-1.1366402,-2.9986373,0.4497469
-1.2797264,-2.4292567,0.0954690
-2.2501306,-2.2078882,0.2070963
-1.4242800,2.8298523,-0.7254603
3.2558104,-0.1821328,-0.0561189
2.4693671,0.5356471,-0.5082445
-1.0161261,-2.9091576,0.6406649
1.9394638,-1.3621993,-0.3604351
1.4534463,1.9309826,-0.3849942
-1.1722008,-2.8230602,0.1661650
3.2317938,-0.6878596,-0.0173098
-0.7361833,-3.1440261,0.5182738
-2.7663470,-1.9317753,0.7351883
-3.1281478,1.8888526,0.1004446
-2.7621401,1.5223490,0.3772670
2.9223654,-0.5807550,-0.2805282
-2.7483580,-0.2366009,-0.0028047
1.2661216,-1.9893169,0.1557920
-3.2180786,-1.6790421,-0.1109704
-2.8511021,-0.9449339,0.4932248
0.4340902,-4.7533240,0.0569170
-2.0769332,1.9172740,-0.2249652
0.0895612,2.9243408,1.1135627
0.4330262,-2.4562181,0.6318802
0.7241400,-3.1040441,-0.1576484
-2.4009291,2.0321934,0.4164507
1.1636259,-2.8169516,-0.1949324
-2.6657892,-1.3959785,-0.8872908
-1.3567189,2.7603710,-0.0249840
-2.4576753,1.8946966,0.7271835
-3.2947401,0.1246499,-0.5799718
-0.2534355,-2.1170221,0.3120125
-2.0666758,1.7762792,0.4096663
-2.2981536,-1.1919472,0.3918802
-1.9369423,2.1906503,-0.4002202
2.8597865,-0.7134072,0.1951947
1.3510904,2.1810311,-0.0812837
2.0166244,-1.5459122,-0.0630514
2.5083682,-1.7890290,0.1345447
-1.1599895,2.7459645,-0.3515683
-1.0846786,2.7532274,0.5293904
-2.9755340,-1.3809416,0.1030898
2.0619510,0.1159699,-0.3851234
2.8791037,-1.7433746,-0.1388799
1.6573028,1.9067854,0.0998483
0.4892511,-2.7445474,-0.2924214
1.6631468,-1.7782480,0.2408431
-2.5267102,-1.6033391,0.1095773
-2.0679461,-1.7690602,0.4560662
3.1495436,-0.9494023,-0.6789743
0.2337215,-3.1252462,-0.2985478
-0.5546554,-2.7585332,0.3267538
0.3107701,-1.8572406,1.2587859
2.5030599,-1.7819689,-0.5423381
0.6672641,2.9736379,-0.3414142
-2.4748200,1.3937126,0.1356418
1.6829132,1.9509743,-0.1778649
-0.6321933,3.4085080,0.8073482
-2.9054366,2.3724839,0.2334140
-3.6117300,0.5941197,0.2069306
-2.2490400,-2.2311860,-0.2869913
-1.7997665,-0.9640484,0.0211337
-2.5748531,-0.9419295,-0.2666078
-3.2527493,0.4892752,0.2244508
-2.2375143,-2.6750398,-0.4691298
2.1623087,1.5788291,0.3901541
-1.8610177,3.2308524,0.4068437
2.7722074,-0.0922101,-0.2934620
-2.1825127,1.7232803,-0.6582760
-0.4785424,1.8563723,-0.0089130
-0.7638653,-3.2561722,-0.1308832
0.2798876,2.8407377,0.0557243
1.3553069,-2.9294752,-0.0209927
2.3158751,-1.9157877,0.3265378
-2.2481745,-0.7484205,0.1805818
-1.5566564,1.5715077,-0.0376192
1.6291542,-3.2669982,0.0402292
-2.2241169,-1.1163811,-0.2246384
2.5269350,0.3329317,0.1067373
-0.5732530,-2.9296787,0.3973544
-2.4161714,-0.8026311,0.4166790
2.3442052,-2.0354215,-0.2569427
2.6403313,-2.3411611,0.0337308
-2.9500672,-1.1575227,0.4702816
-2.6235153,-1.8560163,0.4442271
0.9848864,3.1534293,0.0359323
1.3388917,2.0612433,-0.0938521
2.8309087,0.8715847,-0.2248073
-1.9253629,2.2488042,0.4595304
-2.7455739,-1.6083612,-0.6716828
-0.5678349,-3.0795888,-0.0470482
2.1886129,-2.4194562,0.1034819
0.3680218,1.9105026,0.1726855
-1.9652452,1.5148261,-0.3655138
2.6825221,-0.2876649,0.0910834
-1.9756796,-1.9391939,-0.2552349
-2.4443713,1.4979990,0.2760439
-0.7557934,3.2458092,0.1699837
0.4670443,-2.6033347,-0.1832329
