x_pred,y_pred,z_pred,x_true,y_true,z_true
-2.2058227,-1.3330401,0.37338674,-2.1689585,-1.5608491,0.4207157
-1.9608123,-1.8059168,-0.2543063,-2.0271637,-1.822606,-0.2077089
1.8334191,-1.4340154,0.0017143069,1.8139701,-1.2985958,0.0238236
-1.6096522,-3.2178862,-0.96902686,-1.7195635,-3.1699956,-0.9114349
0.7553629,2.7947648,-0.15206084,0.6104854,2.6093184,-0.1539997
-1.9729811,2.8848586,0.16400236,-2.0862041,2.7260837,0.0970816
-0.050010193,2.7004018,-0.2132591,-0.1041739,2.5137064,-0.2420119
-1.6853867,2.0323846,0.21921557,-1.9978864,1.7439789,0.2068816
-3.4425066,0.06864669,0.005303429,-3.1478056,0.0475975,-0.0173254
-1.3529735,-2.9354537,-0.13391171,-1.4795377,-2.7187387,-0.134583
-0.25824612,-3.0530736,-0.17635092,-0.2107969,-3.1114566,-0.1865587
-1.3274584,2.4120443,-0.24275935,-1.5921416,2.3795872,-0.2864532
-0.1688666,2.5093746,0.013254068,-0.1885415,2.2567195,0.0018217
-1.6077304,2.3500743,-0.5438825,-1.5554065,2.1022837,-0.5759311
0.0020227388,2.766933,0.05874037,-0.0848578,2.7110844,0.0538725
0.59194195,2.61823,-0.030761335,0.5048094,2.484819,0.0166907
-0.7442081,1.9892544,-0.04312626,-0.6527809,1.9551458,-0.0523081
0.63541365,3.039377,-0.34215328,0.4206694,2.8705806,-0.3067477
-0.033535574,-2.4720337,0.14395201,-0.2092239,-2.4612252,0.1009021
-2.339483,2.290065,0.2153266,-2.3889049,2.2127013,0.2028485
-2.3658714,-2.207882,0.29298913,-2.3774818,-2.2547065,0.2424245
2.6561065,-0.89005893,0.16101815,2.4790228,-0.8949792,0.1209904
1.6373839,-1.3465196,0.094004385,1.6745392,-1.1839892,0.0488847
-1.7411034,-1.2540941,0.24666375,-1.8442425,-1.2435638,0.2412644
1.4844644,2.508141,-0.32126817,1.5154832,2.4056095,-0.3525527
2.7855177,-0.6721358,-0.06395222,2.631418,-0.6816012,-0.0924764
-1.4924468,2.7141912,0.11947044,-1.9258917,2.6050931,0.0788518
-2.726579,-0.27343464,0.022889107,-3.1412258,-0.0485535,0.0647336
1.7165102,2.229461,-0.30208275,1.4355763,2.3831158,-0.2841488
-1.525088,-3.0578592,0.6513905,-1.6236559,-3.017874,0.6344406
1.2127429,-2.3126748,0.18592428,1.1906664,-2.4361008,0.1702302
2.7247727,-0.20806773,0.012688018,2.4139893,-0.0323799,-0.0593975
-1.0155287,-2.35441,0.18659042,-1.017353,-2.5260975,0.1429572
2.7134976,0.3919015,0.5028022,2.4286571,0.5193164,0.5086299
2.8910048,-1.0806706,-0.053555172,2.6548388,-0.9596068,-0.0632753
1.9146309,-1.2380127,-0.033063866,1.8707442,-1.1450957,-0.0353282
3.0602863,-0.71971345,0.0670461,2.8531542,-0.6991812,0.0405414
-3.2310328,1.0997833,0.07566692,-3.2142735,1.185434,0.0171707
-1.1578951,-3.0823226,-0.15097173,-1.3156692,-2.7847131,-0.1377262
-2.1177444,2.059083,-0.28878054,-2.0848324,1.9455891,-0.2738171
1.1228995,2.3210952,0.08353922,1.1006263,2.3223973,0.126396
-2.568916,-0.21239075,-0.05899006,-2.7329345,-0.1771207,-0.0089782
-2.6458924,-0.8165305,0.3082427,-2.5535083,-0.7393299,0.2850093
1.5403172,-2.3691044,-0.36711144,1.2629147,-2.2002389,-0.3014484
0.3708585,-1.9444845,0.16247477,0.323608,-1.9882782,0.1810006
2.0238366,1.9586406,0.07529105,1.914499,1.6973182,0.0603043
-0.7197663,2.6567793,-0.15852967,-0.7868068,2.5565439,-0.1904272
-2.154676,2.567734,0.2222751,-2.5892085,2.2010842,0.1893862
3.025285,1.2776878,0.038040135,2.9734084,1.1313605,0.0070977
-2.3668892,-0.13389756,0.0118005695,-2.8156334,-0.2988805,-0.0103828
0.6210113,-3.0429287,-0.3647404,0.616831,-2.9953193,-0.3661972
-2.6860592,-0.61773616,-0.012733804,-2.7108853,-0.7142027,-0.0460909
0.3180943,2.1625454,-0.21494104,0.0922295,2.1855833,-0.2517185
-2.679798,-0.6306928,-0.08200964,-3.1791098,-0.6865753,-0.0871653
-0.37474665,2.2795765,0.110207886,-0.270575,2.2250972,0.1049454
1.9669502,-1.5987333,-0.17880377,2.0080406,-1.5338224,-0.1991047
1.843348,0.42083293,0.27797005,1.761248,0.6022654,0.2384655
1.9188762,1.8641734,-0.1967099,1.6155269,1.9007236,-0.2365118
-1.6498848,2.5073602,0.15457928,-1.8183089,2.3638425,0.16671
0.25453418,3.4190817,0.15086807,0.1752003,3.5516291,0.1672794
-2.8822305,1.7023896,-0.21644992,-2.7967024,1.5220932,-0.2387524
1.8826215,-0.7800811,0.21460074,1.9108835,-0.8328218,0.253833
-3.3796544,1.3940874,0.21410602,-3.3433768,1.3908817,0.139362
-0.5656125,2.3920505,0.10982189,-0.7140199,2.2142457,0.0847139
-2.9186487,-1.5525721,0.5628259,-2.8925465,-1.6422039,0.5528376
-2.884442,0.1732506,0.06634989,-2.7653993,0.0021026,0.0281497
0.5474956,2.939175,0.4084551,0.5071873,2.7910573,0.3873262
-3.1171324,-1.3052217,-0.48218712,-3.2372418,-1.2449604,-0.5351952
3.6555026,-0.16464801,0.5071874,3.4238291,-0.1468474,0.5778995
-2.3945706,-2.1614025,0.56554294,-2.3983803,-2.0973178,0.5841827
0.6106083,2.3117406,0.66009897,0.4208424,2.3240297,0.6567395
1.6427655,-1.8411847,-0.5572452,1.6762717,-1.6948894,-0.5874267
-0.9191416,-2.5415955,0.29606786,-1.0294633,-2.5761243,0.2679239
-0.06051399,-2.3374681,-0.3800368,-0.0472182,-2.34199,-0.4059656
-0.64829785,2.6475787,-0.20230226,-0.7399343,2.5893804,-0.2357549
-2.1033666,2.0179577,0.039845295,-2.1435815,1.9765273,0.0061996
1.7959363,2.1121292,0.03333855,1.6099983,2.1139815,0.0248365
2.3817031,-0.54698414,0.3582365,2.2578451,-0.587277,0.3553366
0.7600548,-3.1760015,-0.114229396,0.8422103,-3.1520386,-0.177993
0.1825576,3.1890824,-0.57036823,0.1155594,3.2334085,-0.5682081
-2.3664594,-1.7334169,-0.22806527,-2.2883577,-1.9885764,-0.1740772
-2.263476,1.0288023,0.17188595,-2.6159512,0.5880321,0.0982099
2.7191174,0.39565918,-0.16946499,2.5043578,0.3795077,-0.1969787
2.6880589,0.8487614,0.23747288,2.4827701,0.7418803,0.2113846
0.6665212,-1.9947839,-0.063783765,0.6887419,-2.1083314,-0.0581062
0.30878514,-2.0896273,0.09488457,0.3109477,-2.2813675,0.0876679
2.64196,1.4508872,-0.16822454,2.515814,1.3681208,-0.173617
1.4866534,-1.964591,-0.03827204,1.4703743,-1.8275638,0.0004298
-2.4543047,0.14715615,0.13656138,-2.407575,-0.1701269,0.1296761
0.37116092,-2.8874643,-0.68979573,0.1958645,-2.9303611,-0.7554814
0.3779958,-3.0795083,-0.28189182,0.1585375,-2.8038452,-0.2729959
-2.2556288,-1.6813778,0.08807821,-2.2297914,-1.6482022,0.0625257
-2.5717046,1.518972,0.050310653,-2.7850238,1.2577417,0.0322594
-2.9718614,-2.3056884,0.32112947,-2.8363991,-2.5256616,0.2612742
-2.9081416,0.95649,-0.04493035,-3.0569091,0.8060353,-0.020046
-2.295433,-1.8760154,-0.31119806,-2.2550459,-1.881647,-0.3298699
1.0600796,-2.0892189,0.1358892,0.9364717,-2.2826963,0.1237338
-1.0385767,-2.1767879,0.20387523,-1.2003019,-2.2489004,0.1989097
-0.79338974,2.6129608,0.16978438,-0.8370223,2.3902617,0.1290211
-2.2251713,-1.5736786,-0.041608825,-2.2084081,-1.6458227,-0.0388814
-1.758312,-2.3897316,0.17385663,-1.767257,-2.4446922,0.1238206
2.1623797,-1.6354377,-0.07011521,2.1747359,-1.4870194,-0.0992229
1.8134971,1.5656402,-1.087253,1.5569784,1.7187604,-0.9664055
1.5471035,-1.7398604,-0.1739625,1.6081101,-1.7780454,-0.1910371
1.8811431,-1.4932477,0.8245641,1.563718,-2.7575065,0.9788731
-0.37376243,3.123698,0.26614383,-0.7946515,3.2845167,0.2471119
2.2850888,1.2862868,0.34897655,1.9381466,1.229709,0.3423966
-2.7885928,-0.5142969,-0.030498762,-2.6470296,-0.535335,-0.0509682
-1.9099343,1.5788168,-0.26421687,-2.0202071,1.4101094,-0.2745052
