m,peri,node,incl,e,n,a,date,x,y,z
140.35843,96.89934,308.76736,11.5859,0.1925796,0.26842678,2.3800467,20240710,-2.5886972,-0.8119553,-0.5180311
291.14569,93.78158,63.69162,3.56266,0.138969,0.21365801,2.7711281,20241111,0.7859966,2.5639759,0.0268825
130.79684,52.5573,348.63731,14.92497,0.0233485,0.19056696,2.9906871,20240707,-3.0185882,0.3279563,-0.0728180
56.99334,32.94399,47.63752,7.74813,0.1635174,0.25906838,2.4370238,20240707,-2.0439271,0.9478341,0.2923837
107.16483,170.42406,203.61546,5.78718,0.0820871,0.23775591,2.5805672,20241110,-1.6997718,2.0276443,-0.2573040
225.80309,239.99515,340.67751,6.93102,0.0487667,0.17829284,3.1264161,20241111,0.4071707,3.1878062,0.3820675
135.928,297.01254,72.87343,7.56678,0.1254444,0.15351348,3.4543927,20240704,-3.3958588,1.6058996,0.4939179
316.41425,318.91063,178.00394,1.64252,0.0243668,0.16969133,3.2311934,20241111,-0.0754453,3.1729026,-0.0908532
46.56434,124.72642,307.60559,6.41323,0.120338,0.22283407,2.6945215,20241110,-1.6027694,1.9119152,-0.0115851
270.21944,61.87784,187.91253,2.96379,0.0782098,0.23122126,2.6289614,20240703,-2.3141759,1.2765767,-0.0819581
238.01314,109.78283,168.93836,4.66539,0.0812923,0.21712293,2.7415674,20241110,-2.4689068,1.4648257,-0.0786620
358.49689,328.35602,23.23234,2.92326,0.1051024,0.25877806,2.4388462,20241109,2.1469853,-0.3879968,-0.0614533
356.28654,92.46785,31.10007,8.23837,0.0634982,0.21543135,2.7558999,20241111,-1.2511836,2.2273503,0.3697085
102.17564,302.79327,76.15935,6.24714,0.1275796,0.21629188,2.7485854,20240616,-2.0042287,2.0274021,0.2661189
305.82779,110.63133,135.66388,12.2692,0.2129551,0.20291467,2.8680964,20240705,-2.5442445,0.5067303,0.3078638
302.10758,237.86232,144.97221,22.7811,0.2096268,0.17842028,3.1249273,20241110,1.5814570,-2.3806932,0.4375165
295.96378,161.63939,65.55899,4.96355,0.0691673,0.26001674,2.4310945,20240707,-2.1507840,0.9676085,0.2048216
333.00223,255.58707,258.05278,24.98455,0.3868227,0.23352353,2.6116538,20240418,-0.0816341,1.8437537,-0.2150692
146.46464,290.85978,318.91934,7.20895,0.1333621,0.18354402,3.0664971,20241111,2.4587785,2.3406761,0.4275401
229.29745,85.63977,345.84038,11.61057,0.1150663,0.24010828,2.5636848,20241111,1.0358080,-2.5327139,-0.4525074
138.80657,340.37624,343.44293,2.30278,0.208064,0.26059935,2.4274698,20241111,-1.2309829,2.5623481,0.0846603
66.9197,132.92594,186.39794,9.57988,0.0843604,0.28497756,2.2869795,20241108,1.8141860,1.2768631,-0.1800420
35.65196,107.67587,202.1694,13.43173,0.2110319,0.17855782,3.1233223,20241110,2.6368685,0.1650606,0.2011224
39.93823,260.69652,54.72076,3.20214,0.1616788,0.2571767,2.4489597,20241110,2.1468851,0.3521477,-0.0866727
335.17608,167.24462,1.67163,10.87232,0.1700539,0.21207763,2.7848778,20241111,-1.6486585,1.6748019,0.3307773
133.99847,197.20731,107.07494,3.18947,0.2162383,0.2179726,2.7344382,20241111,-0.1748282,3.1932740,-0.0429353
252.13419,57.85243,318.44556,11.89403,0.2132075,0.22628442,2.667061,20240922,-1.0892063,-2.6691390,-0.5728748
206.96415,292.1476,291.08981,2.24005,0.1330873,0.26165082,2.4209621,20241111,1.1807596,2.4442186,0.0774960
151.26792,251.91987,332.95811,11.44336,0.0728523,0.21487065,2.7606922,20241111,2.7458908,0.9607698,0.4259243
103.2707,294.46611,76.16181,4.81609,0.2358477,0.22806514,2.65316,20241025,-2.1568972,1.9597823,0.2159490
189.04352,45.20668,77.32454,12.62173,0.1471797,0.2257105,2.6715801,20241111,1.8833356,-2.3548389,-0.5271534
139.68451,145.2228,83.92916,13.09994,0.06583,0.22000203,2.7175962,20241109,2.7107553,0.6710271,-0.6107575
262.4441,103.38157,248.20884,1.93293,0.0223291,0.17731973,3.1378439,20240925,-0.9987352,-2.9859826,0.0061120
71.84357,252.43066,144.95615,25.29046,0.1881609,0.21378628,2.7700195,20241110,-1.8023448,1.9935565,-0.2821915
61.26391,250.47302,159.61616,0.94016,0.0652271,0.30740435,2.1743496,20240527,-0.9974820,1.8632866,-0.0229610
348.91367,154.16728,206.10547,2.20227,0.1235752,0.19133204,2.9827092,20241109,2.5443919,-0.6342108,0.0649560
