m,peri,node,incl,e,n,a,date
175.91651,331.64749,61.98689,4.57586,0.1592049,0.17361303,3.1823493,20240712
270.87036,304.85388,172.58229,10.00365,0.0655064,0.15135727,3.4871224,20241110
305.21814,213.21233,349.72664,4.21003,0.0629691,0.16969078,3.2312003,20241110
337.51652,57.65485,2.74671,7.84577,0.3004128,0.22299289,2.693242,20241103
284.24132,282.22281,56.77063,5.95972,0.0794095,0.21808726,2.7334797,20240925
176.40113,168.30234,305.66215,4.93185,0.1032158,0.23597186,2.5935577,20241111
176.67023,16.93091,323.36631,2.59737,0.1283094,0.25968754,2.4331487,20240703
312.58894,80.23618,123.32613,5.04241,0.0858967,0.26914035,2.3758381,20241110
151.73688,352.53434,164.05351,4.94492,0.1386166,0.22516514,2.6758922,20241111
140.35843,96.89934,308.76736,11.5859,0.1925796,0.26842678,2.3800467,20240710
291.14569,93.78158,63.69162,3.56266,0.138969,0.21365801,2.7711281,20241111
130.79684,52.5573,348.63731,14.92497,0.0233485,0.19056696,2.9906871,20240707
56.99334,32.94399,47.63752,7.74813,0.1635174,0.25906838,2.4370238,20240707
107.16483,170.42406,203.61546,5.78718,0.0820871,0.23775591,2.5805672,20241110
225.80309,239.99515,340.67751,6.93102,0.0487667,0.17829284,3.1264161,20241111
135.928,297.01254,72.87343,7.56678,0.1254444,0.15351348,3.4543927,20240704
316.41425,318.91063,178.00394,1.64252,0.0243668,0.16969133,3.2311934,20241111
46.56434,124.72642,307.60559,6.41323,0.120338,0.22283407,2.6945215,20241110
270.21944,61.87784,187.91253,2.96379,0.0782098,0.23122126,2.6289614,20240703
238.01314,109.78283,168.93836,4.66539,0.0812923,0.21712293,2.7415674,20241110
358.49689,328.35602,23.23234,2.92326,0.1051024,0.25877806,2.4388462,20241109
356.28654,92.46785,31.10007,8.23837,0.0634982,0.21543135,2.7558999,20241111
102.17564,302.79327,76.15935,6.24714,0.1275796,0.21629188,2.7485854,20240616
305.82779,110.63133,135.66388,12.2692,0.2129551,0.20291467,2.8680964,20240705
302.10758,237.86232,144.97221,22.7811,0.2096268,0.17842028,3.1249273,20241110
295.96378,161.63939,65.55899,4.96355,0.0691673,0.26001674,2.4310945,20240707
333.00223,255.58707,258.05278,24.98455,0.3868227,0.23352353,2.6116538,20240418
146.46464,290.85978,318.91934,7.20895,0.1333621,0.18354402,3.0664971,20241111
229.29745,85.63977,345.84038,11.61057,0.1150663,0.24010828,2.5636848,20241111
138.80657,340.37624,343.44293,2.30278,0.208064,0.26059935,2.4274698,20241111
66.9197,132.92594,186.39794,9.57988,0.0843604,0.28497756,2.2869795,20241108
35.65196,107.67587,202.1694,13.43173,0.2110319,0.17855782,3.1233223,20241110
39.93823,260.69652,54.72076,3.20214,0.1616788,0.2571767,2.4489597,20241110
335.17608,167.24462,1.67163,10.87232,0.1700539,0.21207763,2.7848778,20241111
133.99847,197.20731,107.07494,3.18947,0.2162383,0.2179726,2.7344382,20241111
252.13419,57.85243,318.44556,11.89403,0.2132075,0.22628442,2.667061,20240922
206.96415,292.1476,291.08981,2.24005,0.1330873,0.26165082,2.4209621,20241111
151.26792,251.91987,332.95811,11.44336,0.0728523,0.21487065,2.7606922,20241111
103.2707,294.46611,76.16181,4.81609,0.2358477,0.22806514,2.65316,20241025
189.04352,45.20668,77.32454,12.62173,0.1471797,0.2257105,2.6715801,20241111
139.68451,145.2228,83.92916,13.09994,0.06583,0.22000203,2.7175962,20241109
262.4441,103.38157,248.20884,1.93293,0.0223291,0.17731973,3.1378439,20240925
71.84357,252.43066,144.95615,25.29046,0.1881609,0.21378628,2.7700195,20241110
61.26391,250.47302,159.61616,0.94016,0.0652271,0.30740435,2.1743496,20240527
348.91367,154.16728,206.10547,2.20227,0.1235752,0.19133204,2.9827092,20241109
128.97705,132.41105,38.73278,6.43131,0.035808,0.23622476,2.5917062,20241111
224.93374,58.96045,39.87181,12.12353,0.0824726,0.17735955,3.1373742,20241111
63.64996,39.32435,228.08798,7.82939,0.1387268,0.12456912,3.9706578,20241109
273.90505,167.5586,36.48965,21.02225,0.0769127,0.17262788,3.1944451,20241109
158.10852,46.78225,40.54541,11.36073,0.2727387,0.21478667,2.7614117,20241003
198.85961,338.586,241.77958,9.78238,0.2238046,0.21810266,2.733351,20241111
305.46244,46.21207,62.03447,12.16346,0.1981723,0.23784824,2.5798993,20241110
258.96253,147.25903,277.64721,1.00572,0.0532771,0.20289727,2.8682604,20241111
34.13772,333.4707,133.86235,6.11474,0.0993984,0.17997855,3.1068638,20241110
83.81921,49.94832,8.54372,3.81955,0.0659038,0.21889122,2.7267824,20241110
74.32766,295.05818,18.54582,9.05588,0.1368042,0.2684208,2.3800821,20241111
145.09475,115.60562,35.43759,6.09114,0.1825462,0.18822354,3.015459,20241111
12.01175,298.37697,160.01382,4.8152,0.1921361,0.27074054,2.3664674,20241111
145.95348,284.04067,76.7828,24.47558,0.3468852,0.23088767,2.631493,20240707
268.01095,344.77188,302.44294,11.23288,0.0836318,0.17831988,3.1261,20240708
142.62975,264.09195,128.89096,12.02226,0.2106913,0.22384269,2.6864212,20240711
255.47624,127.77063,166.10646,2.21743,0.0372384,0.20449863,2.8532672,20240707
285.87588,176.43858,205.91679,4.67056,0.074756,0.15906288,3.3735734,20241111
346.2298,334.81447,354.71879,5.50011,0.1302084,0.27215001,2.3582897,20241109
45.23697,158.3784,301.19277,14.36204,0.0613796,0.24153302,2.5535932,20240703
186.58457,55.33376,100.46949,2.54701,0.1324463,0.17811084,3.1285456,20241108
207.15628,359.26939,331.90421,10.0163,0.1144827,0.26850898,2.379561,20240707
108.48222,228.57405,148.12814,14.19665,0.2098329,0.21718112,2.7410777,20241110
219.75522,290.86419,327.274,12.10023,0.1448851,0.20382018,2.8595954,20241111
162.16561,319.76542,21.27721,3.21905,0.2321419,0.17342284,3.1846754,20240627
325.35636,188.9053,200.46238,22.68055,0.1719029,0.17389713,3.1788822,20241109
321.78222,39.67433,346.92821,1.3815,0.2342302,0.213729,2.7705144,20241111
165.10247,213.28583,51.08925,1.89192,0.0417585,0.25510596,2.4621942,20241111
294.88425,104.41428,251.82686,7.81744,0.1096176,0.19217564,2.973974,20241027
240.56964,175.90566,311.82532,0.86797,0.1683462,0.21968105,2.7202427,20241109
207.32765,318.86437,142.98442,18.89646,0.2081817,0.17842967,3.1248176,20241110
87.46575,310.50961,107.16534,2.00557,0.1868057,0.26256765,2.4153231,20240508
208.33277,264.08641,141.84386,26.38984,0.3483485,0.21088918,2.7953307,20240922
271.84784,216.93373,330.21046,1.1284,0.0595252,0.17253829,3.1955508,20241106
260.06476,223.92833,153.74209,23.24893,0.1270907,0.21739327,2.7392941,20241015
9.90206,315.58704,14.71077,13.18567,0.1493048,0.27154072,2.3618161,20241108
154.06695,196.68552,21.67325,10.58084,0.2400289,0.21871501,2.7282468,20241110
228.59043,69.79085,240.81815,11.70311,0.1789011,0.21479041,2.7613797,20240703
26.02844,169.8111,203.34078,5.17516,0.0363533,0.25689176,2.4507703,20241110
146.33147,271.30376,175.42328,6.17472,0.1683165,0.12345285,3.994557,20240919
167.00968,226.50168,159.18904,11.52162,0.087409,0.1999772,2.8961145,20240711
114.61845,30.5673,343.0895,6.79755,0.2457627,0.26469012,2.402394,20240701
315.45098,82.57447,349.48791,11.9955,0.2982836,0.23531156,2.5984072,20241107
21.23097,163.20793,159.25017,18.50921,0.2371438,0.23293785,2.6160297,20241108
0.28537,117.99152,6.87477,6.95563,0.0389132,0.20189702,2.877726,20241111
86.8583,203.40773,72.29808,7.26299,0.0144187,0.1795229,3.1121186,20241025
313.15693,245.99104,81.56344,8.78945,0.1627721,0.2172956,2.7401148,20241003
126.38153,89.07321,268.20782,9.32344,0.2277071,0.25575716,2.458013,20240617
252.43794,179.52431,88.41808,15.4795,0.1831897,0.17539384,3.160772,20241111
301.20617,87.14368,324.2385,6.89991,0.1330691,0.2177142,2.7366014,20241110
33.52653,181.14802,156.90377,5.75609,0.1790841,0.22482376,2.6786003,20241106
202.61791,359.58405,136.70374,8.85268,0.1048083,0.18339131,3.0681991,20241111
337.39751,60.27906,347.69661,3.17174,0.0599874,0.21772887,2.7364785,20241110
